cohort_week,cohort_size,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12
11/1/2020,20078,0.937991832,0.326377129,0.267207889,0.261729256,0.159876482,0.15320251,0.165305309,0.02500249,0.007819504,0.013796195,0.023159677,0.014941727,0.018179102
11/8/2020,16232,1.191966486,0.381283884,0.281234598,0.229300148,0.276552489,0.104484968,0.039366683,0.069369147,,0.012013307,0.035485461,0.020515032,
11/15/2020,17845,1.381731577,0.296777809,0.218716727,0.227570748,0.167105632,0.025609414,0.028803586,0.022022976,0.020958252,0.00622023,0.00442701,,
11/22/2020,19637,1.647247543,0.235881245,0.22533992,0.119366502,0.037021948,0.013240312,0.006416459,0.010592249,0.034577583,0.003768396,,,
11/29/2020,21991,1.319403392,0.3634214,0.243281342,0.048019644,0.012414169,0.022145423,0.006093402,0.011959438,0.005411305,,,,
12/6/2020,28069,1.202572233,0.32943817,0.081477787,0.034415191,0.020841498,0.026933628,0.024404147,0.002208842,,,,,
12/13/2020,25153,1.008229635,0.107820141,0.040233769,0.030215084,0.04083012,0.029817517,0.000397567,,,,,,
12/20/2020,17830,0.368704431,0.05384184,0.020919798,0.023275379,0.018003365,0.008076276,,,,,,,
12/27/2020,16539,0.339077332,0.050849507,0.004534736,0.020376081,0.005985852,,,,,,,,
1/3/2021,22774,0.228374462,0.064283832,0.027399666,0.00474225,,,,,,,,,
1/10/2021,21452,0.399403319,0.058502704,0.012446392,,,,,,,,,,
1/17/2021,20782,0.903185449,0.122028679,,,,,,,,,,,
1/24/2021,19560,0.192126789,,,,,,,,,,,,
